src_ip,dst_ip,protocol,dst_port,packet_length
142.250.204.36,10.129.219.246,TCP,53524,139
10.129.219.246,142.250.66.74,TCP,443,66
10.129.219.246,142.250.204.36,TCP,443,66
10.129.219.246,142.250.66.74,TCP,443,66
10.129.219.246,142.250.204.36,TCP,443,66
142.250.204.36,10.129.219.246,TCP,53524,66
10.129.219.246,142.250.204.36,TCP,443,66
142.250.66.74,10.129.219.246,TCP,53520,66
10.129.219.246,142.250.66.74,TCP,443,66
142.250.196.202,10.129.219.246,TCP,53528,139
10.129.219.246,142.250.196.202,TCP,443,66
10.129.219.246,142.250.196.202,TCP,443,66
142.250.196.202,10.129.219.246,TCP,53528,66
10.129.219.246,142.250.196.202,TCP,443,66
10.129.219.246,142.250.198.78,TCP,443,54
142.250.198.78,10.129.219.246,TCP,53514,66
13.107.246.73,10.129.219.246,TCP,53541,105
13.107.246.73,10.129.219.246,TCP,53541,90
10.129.219.246,13.107.246.73,TCP,443,66
10.129.219.246,13.107.246.73,TCP,443,66
13.107.246.73,10.129.219.246,TCP,53541,66
13.107.246.73,10.129.219.246,TCP,53541,66
10.129.219.246,13.107.246.73,TCP,443,66
10.129.219.246,13.107.246.73,TCP,443,66
13.107.246.73,10.129.219.246,TCP,53541,66
13.107.246.73,10.129.219.246,TCP,53541,66
10.129.219.246,142.250.66.74,TCP,443,54
10.129.219.246,142.250.198.74,TCP,443,54
10.129.219.246,142.250.198.74,TCP,443,54
142.250.198.74,10.129.219.246,TCP,53522,66
142.250.66.74,10.129.219.246,TCP,53523,66
142.250.198.74,10.129.219.246,TCP,53521,66
10.129.219.246,99.83.179.177,TCP,443,114
17.248.223.65,10.129.219.246,TCP,61872,1436
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61872,1436
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1210
17.248.223.65,10.129.219.246,TCP,61872,97
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,105
10.129.219.246,17.248.223.65,TCP,443,90
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61871,66
10.129.219.246,142.250.77.3,TCP,443,54
17.248.223.65,10.129.219.246,TCP,61871,66
17.248.223.65,10.129.219.246,TCP,61871,66
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61871,66
142.250.77.3,10.129.219.246,TCP,53517,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
17.57.145.138,10.129.219.246,TCP,61586,421
10.129.219.246,17.57.145.138,TCP,5223,66
10.129.219.246,17.248.223.65,TCP,443,258
10.129.219.246,17.248.223.65,TCP,443,1004
10.129.219.246,17.248.223.65,TCP,443,97
10.129.219.246,17.57.145.138,TCP,5223,98
17.248.223.65,10.129.219.246,TCP,61872,78
17.248.223.65,10.129.219.246,TCP,61872,66
10.129.219.246,17.248.223.65,TCP,443,1004
17.248.223.65,10.129.219.246,TCP,61872,78
17.57.145.138,10.129.219.246,TCP,61586,66
10.129.219.246,142.250.196.202,TCP,443,54
10.129.219.246,142.250.204.35,TCP,443,54
142.250.196.202,10.129.219.246,TCP,53516,66
142.250.204.35,10.129.219.246,TCP,53513,66
10.129.219.246,142.250.196.206,TCP,443,54
142.250.196.206,10.129.219.246,TCP,53519,66
10.129.219.246,64.233.188.84,TCP,443,54
64.233.188.84,10.129.219.246,TCP,53526,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,142.250.66.78,TCP,443,54
142.250.66.78,10.129.219.246,TCP,53515,66
17.248.223.65,10.129.219.246,TCP,61872,1436
17.248.223.65,10.129.219.246,TCP,61872,1436
10.129.219.246,17.248.223.65,TCP,443,66
